Komentar,Kategori,Preprocessed Text,Sentiment
 dari raut mukanya aja udh terlihat seperti org kalah judi dan tidak pernah makan enak ,Bullying,raut mukanya aja udh org kalah judi makan enak,bulliying
 kak jerome kayak boneka tau hahah ,Non-bullying,kak jerome kayak boneka tau hahah,non-bulliying
 mukbang makanan sehat dong kak  salad jepang gituuu  ,Non-bullying,mukbang makanan sehat kak salad jepang gituuu,non-bulliying
 yakinin dulu niatnya bg  semoga sukses ,Non-bullying,yakinin niatnya bg semoga sukses,non-bulliying
 bang  aku nonton kamu setelah aku kerja di jepang  bermanfaat bgt kontennya jd gampang kalo mau nyari apa apa di jepang ,Non-bullying,bang nonton kerja jepang bermanfaat bgt kontennya jd gampang kalo nyari jepang,non-bulliying
 cuman rumus diet ini yg ga bisa dipecahka ya bang  ,Non-bullying,cuman rumus diet yg ga dipecahka ya bang,non-bulliying
 perut makin maju tpi semangat jangan tak maju ,Non-bullying,perut maju tpi semangat maju,non-bulliying
 pantesan kak jessica bilang bang jerom beruang wkwkwk ,Non-bullying,pantesan kak jessica bilang bang jerom beruang wkwkwk,non-bulliying
 aduhh susah klo urusan sma jerome rumus matematika terus bahasannya  apakah daya diriku yg lebih suka bhs inggris drpd matematika ,Non-bullying,aduhh susah klo urusan sma jerome rumus matematika bahasannya daya diriku yg suka bhs inggris drpd matematika,non-bulliying
 kaya tulus ya mukanya klo diliat  ,Non-bullying,kaya tulus ya mukanya klo diliat,non-bulliying
 kak jerome  bagi trik biar bisa paham dan ingat cepat rumus matematika  dung   ,Non-bullying,kak jerome trik biar paham cepat rumus matematika dung,non-bulliying
 baru x ini baca caption harus mikir dan pakai kalkulator cuyyy hahaha ,Non-bullying,x baca caption mikir pakai kalkulator cuyyy hahaha,non-bulliying
 sumpah si kak  kemeja jeans bikin keliatan seger bgt mantap mantap ,Non-bullying,sumpah si kak kemeja jeans bikin keliatan seger bgt mantap mantap,non-bulliying
 mirip ama aktor korea yg main di film reply      yg jadi kaka nya jung hwan wkwk ,Non-bullying,ama aktor korea yg main film reply yg kaka nya jung hwan wkwk,non-bulliying
 iya bang jer terlihat berbeda klo pake style kayak gini lebih terlihat fresh anak gaul ,Non-bullying,iya bang jer berbeda klo pake style kayak gini fresh anak gaul,non-bulliying
 klo style ke gini pas gitu bang sma umur lu yg msh muda keliatan lbh fresh aja sesuai sma umur ,Non-bullying,klo style gini pas gitu bang sma umur lu yg msh muda keliatan lbh fresh aja sesuai sma umur,non-bulliying
 kok makin dewasa makin imutt aih cipaaaaaa ,Non-bullying,dewasa imutt aih cipaaaaaa,bulliying
 maniss bangettt pengen dah punya senyuman manis kayak ka syifaaa ,Non-bullying,maniss bangettt pengen dah senyuman manis kayak ka syifaaa,non-bulliying
 nih orang manis bnget sihh ga ngerti lagi ,Non-bullying,nih orang manis bnget sihh ga ngerti,non-bulliying
 kakak pinter nyanyi ya  syifahadjureal  suaranya bagus kak ,Non-bullying,kakak pinter nyanyi ya syifahadjureal suaranya bagus kak,non-bulliying
 gk salah kalo kak syifa cantik mamahnya aja cantik bgtt   jujurr ,Non-bullying,gk salah kalo kak syifa cantik mamahnya aja cantik bgtt jujurr,non-bulliying
 lelaki yg mendapatkan km  adalah lelaki yg beruntung  ,Non-bullying,lelaki yg km lelaki yg beruntung,non-bulliying
 kamu mirip bgt ayahmu kalo adikmu mirip bgt mamamu ,Non-bullying,bgt ayahmu kalo adikmu bgt mamamu,non-bulliying
 kakak udah cantik sii  tapi cantikan lagi kalo pake hijab ,Non-bullying,kakak udah cantik sii cantikan kalo pake hijab,non-bulliying
 gemeshh rasanya kaya aku pengen cubit ,Non-bullying,gemeshh kaya pengen cubit,non-bulliying
  angelkmgi ini paling cute sih  ganteng parah msh kecil jg ,Non-bullying,angelkmgi cute sih ganteng parah msh jg,non-bulliying
 pengen gw pacul mulut lo   woii anjeng busuk ,Bullying,pengen gw pacul mulut lo woii anjeng busuk,bulliying
 sering blg ke org  artis cewek yg menurutku paling cantik syifa sama ziu ,Non-bullying,blg org artis cewek yg menurutku cantik syifa ziu,non-bulliying
 ka cipa tu uda cantik  baik  manis bgt pula  manisnya tu nglebihin gula ,Non-bullying,ka cipa tu uda cantik manis bgt manisnya tu nglebihin gula,non-bulliying
 dilihat sekilas pun tampak jelas kalau cantikkan syifa ,Non-bullying,sekilas cantikkan syifa,non-bulliying
 setuju g sih  si dia tetep cntik bgt meski g pke make up  lah aku g pke make up pucet bgt kyk g makan setahunn ,Non-bullying,setuju g sih si tetep cntik bgt g pke make up g pke make up pucet bgt kyk g makan setahunn,non-bulliying
 dahlahh emang cantik luar dalam kmu ini cippp ,Non-bullying,dahlahh emang cantik kmu cippp,non-bulliying
 muka cantik tanpa make up hini  bahagia bgt kali ya yg jadi suaminya  bisa liat bidadari setiap harinya  ,Non-bullying,muka cantik make up hini bahagia bgt kali ya yg suaminya liat bidadari harinya,non-bulliying
 suka bgtt sm kak cipaa   orangnya humble sm semua orang dan banyak temannya juga ,Non-bullying,suka bgtt sm kak cipaa orangnya humble sm orang temannya,non-bulliying
 artis remaja di indonesia yg manis bgt kalo senyum cuma dia deh perasaan yg nempel di hati ,Non-bullying,artis remaja indonesia yg manis bgt kalo senyum deh perasaan yg nempel hati,non-bulliying
 aku doakan perempuan baik yg bernama nagita selalu sehat  bahagia lahir batin  dan banyak yang sayang sm dia   ,Non-bullying,doakan perempuan yg bernama nagita sehat bahagia lahir batin sayang sm,non-bulliying
 rafathar nya mantull ni  pulang nggk jd nginep karna nggk ada temen mamany d rmh papany belum pulangg   jd jagain dan temenin mama dulu  ya aa ,Non-bullying,rafathar nya mantull ni pulang nggk jd nginep karna nggk temen mamany d rmh papany pulangg jd jagain temenin mama ya aa,non-bulliying
 kultur kerja kaya gini menurut gw bagus si ga kapitalis banget  petingginya juga ikut kerja misal ngevlog atau endors  semoga gaji juga ga senjang si haha ,Non-bullying,kultur kerja kaya gini gw bagus si ga kapitalis banget petingginya kerja ngevlog endors semoga gaji ga senjang si haha,non-bulliying
 pantas pada senang kerja di rans   mbak gigi nggak ngebossy   ,Non-bullying,senang kerja rans mbak gigi nggak ngebossy,non-bulliying
 seneng yaa lihat orang sukses meeting  ya allah pengen sukses kayak gitu biar ada status di instastory ,Non-bullying,seneng yaa lihat orang sukses meeting ya allah pengen sukses kayak gitu biar status instastory,non-bulliying
 smga semua kelg dan crew sehat semua   dan rejeki trs lancar ya kak gigi   ,Non-bullying,smga kelg crew sehat rejeki trs lancar ya kak gigi,non-bulliying
 fokus ke nagita pas mau minum masih sempet baca doa  keren bgt hasil dari didikan orang tua nya ,Non-bullying,fokus nagita pas minum sempet baca doa keren bgt hasil didikan orang tua nya,non-bulliying
 kasihan ya   nagita punya suami kerjaannya berzinah terus ,Bullying,kasihan ya nagita suami kerjaannya berzinah,bulliying
 koreaable banget face rafathar cakep ganteng manis banget ,Non-bullying,koreaable banget face rafathar cakep ganteng manis banget,non-bulliying
 masyaallah rafathar tambah besar makin tambah ganteng bgt gk kuat ngeliat alisny  ,Non-bullying,masyaallah rafathar ganteng bgt gk kuat ngeliat alisny,non-bulliying
 kok mirip siwon ya lama   apa perasaan gw aja  ,Non-bullying,siwon ya perasaan gw aja,non-bulliying
 lucunya berasa kayak kaka dan adek ,Non-bullying,lucunya berasa kayak kaka adek,non-bulliying
 itu wajah nagita kya masih umur   an ,Non-bullying,wajah nagita kya umur an,non-bulliying
 foto no edit edit ya saayy kamera nyaa bening    model fotonya pun juga bening gak perlu pakai filter tipu tipu ,Non-bullying,foto no edit edit ya saayy kamera nyaa bening model fotonya bening gak pakai filter tipu tipu,bulliying
 look nya rafathar emang gak bisa dipungkiri  diborong gen mama gigi semua haha  ,Non-bullying,look nya rafathar emang gak dipungkiri diborong gen mama gigi haha,non-bulliying
 nagita masa kaya anak muda coba cantikk bangeett ,Non-bullying,nagita kaya anak muda coba cantikk bangeett,non-bulliying
 masyaallah mamany cantik anakny ganteng  perfect ,Non-bullying,masyaallah mamany cantik anakny ganteng perfect,non-bulliying
 kaya adek kakak   kak gigi keliatan muda banget ,Non-bullying,kaya adek kakak kak gigi keliatan muda banget,non-bulliying
 tambah gede aja rafathar ya tambah pinter ya rafathar ,Non-bullying,gede aja rafathar ya pinter ya rafathar,non-bulliying
 mama gigi kalau rambutnya agak pirang tambah cantik dan tampak lebih muda ,Non-bullying,mama gigi rambutnya pirang cantik muda,non-bulliying
 ootd mama gigi simple tapi elegan dilihat nya  masyaallah ,Non-bullying,ootd mama gigi simple elegan nya masyaallah,non-bulliying
 masyaallah mamah gigi bening bet dah  sehat selalu mamah gigi dn keluarga ,Non-bullying,masyaallah mamah gigi bening bet dah sehat mamah gigi dn keluarga,non-bulliying
 mama gigi ketemu gajah  gajahnya seneng sampai ketawa gitu ahhaha  ,Non-bullying,mama gigi ketemu gajah gajahnya seneng ketawa gitu ahhaha,non-bulliying
 ya allah ga tau knp ak suka setiap lihat nagita pake dress modelnya cakep cakep ,Non-bullying,ya allah ga tau knp ak suka lihat nagita pake dress modelnya cakep cakep,non-bulliying
 i see beauty in everything mba gigi sehat selalu sama dede bayi nya ,Non-bullying,i see beauty in everything mba gigi sehat dede bayi nya,non-bulliying
 mama gigi cantik banget  look younger than her age   love mama gigi ,Non-bullying,mama gigi cantik banget look younger than her age love mama gigi,non-bulliying
 semoga adeknya rafathar menjadi anak yang tangguh kuat cerdas ,Non-bullying,semoga adeknya rafathar anak tangguh kuat cerdas,non-bulliying
 pakaian apapun yg dipake mama gigi selalu keceee ,Non-bullying,pakaian apapun yg dipake mama gigi keceee,non-bulliying
 terima kasih kak nagita  raffinagita     sudah support molly si gajah dan satwa satwa di bali zoo lainnya dengan kunjungannya bersama keluarga ,Non-bullying,terima kasih kak nagita raffinagita support molly si gajah satwa satwa bali zoo kunjungannya keluarga,non-bulliying
 kaya ny gajahnya merasakan aura positif nya mb gigi itu  kelihatan sumringah jg gajahnya loo   ,Non-bullying,kaya ny gajahnya merasakan aura positif nya mb gigi sumringah jg gajahnya loo,non-bulliying
 manis banget mbak gigi   masya allah   hamil semakin bersinar   ,Non-bullying,manis banget mbak gigi masya allah hamil bersinar,non-bulliying
 mama gigi gapernah ga cantik sih kalo menurut aku  ,Non-bullying,mama gigi gapernah ga cantik sih kalo,non-bulliying
 semoga sehat selalu bayi dalam kandungan nya sama ibunya ya  ,Non-bullying,semoga sehat bayi kandungan nya ibunya ya,non-bulliying
 cantik banget semoga sehat selalu kakak panutan ,Non-bullying,cantik banget semoga sehat kakak panutan,non-bulliying
 masyaallah selalu mempesona baik kaum adam maupun kaum hawa ,Non-bullying,masyaallah mempesona kaum adam kaum hawa,non-bulliying
 gak ada orang lain yang bangun tidur siang secantik ini selain ka yaya ,Non-bullying,gak orang bangun tidur siang secantik ka yaya,non-bulliying
 makin tua makin muda yehh mukanya  mana cantik bngett mo nangiss ampun cantik terus ka yaya ,Non-bullying,tua muda yehh mukanya cantik bngett mo nangiss ampun cantik ka yaya,non-bulliying
 gapaham lagi cakeup nya natural masyaallah ,Non-bullying,gapaham cakeup nya natural masyaallah,non-bulliying
 raisa mah tipe cantik tapi sopan santun pakaiannya ,Non-bullying,raisa mah tipe cantik sopan santun pakaiannya,non-bulliying
 ka yayaaa  why are you always stunning pretty girl  ,Non-bullying,ka yayaaa why are you always stunning pretty girl,non-bulliying
 ya allah ni orang apa peri  cantik amatt ,Non-bullying,ya allah ni orang peri cantik amatt,non-bulliying
 kenapa cantik banget aku heran dilihat dari samping kanan kiri depan dll tetep aja cantik ,Non-bullying,cantik banget heran samping kanan kiri dll tetep aja cantik,non-bulliying
 bisa berhenti cakep ga kakk  pusingggg ih ,Non-bullying,berhenti cakep ga kakk pusingggg ih,non-bulliying
 cantik bajunya keren warnanya bikin pangling ,Non-bullying,cantik bajunya keren warnanya bikin pangling,non-bulliying
 sudah dongggg dan sudah di liked juga   congratulations ,Non-bullying,dongggg liked congratulations,bulliying
 udaaaahh nontonnnnn   lagunya bajunya makeup dan hairdo nyaaa sukaakkkk ,Non-bullying,udaaaahh nontonnnnn lagunya bajunya makeup hairdo nyaaa sukaakkkk,non-bulliying
 raisa sekarang ngak monoton   jadi suka deh   sering  kek gini   ,Non-bullying,raisa ngak monoton suka deh kek gini,non-bulliying
 udah dong  lagi ngunyah aja cute banget ,Non-bullying,udah ngunyah aja cute banget,non-bulliying
 penyihir secantik ini gue rela dikutuk jadi tokek laut ,Non-bullying,penyihir secantik gue rela dikutuk tokek laut,non-bulliying
 ya ampun kak makan apa sih kok bisa cantik banget ,Non-bullying,ya ampun kak makan sih cantik banget,non-bulliying
 ya allah kek anak yg msh batita klo lg ngambek manyunnya begitu  gemes hahaha ,Non-bullying,ya allah kek anak yg msh batita klo lg ngambek manyunnya gemes hahaha,non-bulliying
 aku udah  dan sumpah bagus banget  serasa liat cerita disney gitu ,Non-bullying,udah sumpah bagus banget serasa liat cerita disney gitu,non-bulliying
 lu lebih gak sopan  mukak lu kayak babi  ,Bullying,lu gak sopan mukak lu kayak babi,bulliying
 ya allah kenapa begitu sempurna sih ciptaanmu yg satu in ,Non-bullying,ya allah sempurna sih ciptaanmu yg in,non-bulliying
 ragu aja cantiknya udh kek gini  gmn kl yakin yak  cantiknya kek apa  heran ,Non-bullying,ragu aja cantiknya udh kek gini gmn kl yak cantiknya kek heran,bulliying
 bukan keliatan ragu  tapi keliatan cantik ,Non-bullying,keliatan ragu keliatan cantik,non-bulliying
 warna yang paling bikin raisa makin shinning itu merah  hitam  putih  pink and emerald ,Non-bullying,warna bikin raisa shinning merah hitam putih pink and emerald,non-bulliying
 raisa pake baju merah sumpahh cantik bgttt ,Non-bullying,raisa pake baju merah sumpahh cantik bgttt,non-bulliying
 liriknya pendek tp susah di hafal pas awal awal  begitu di puter beberapa kali eh kok candu banget ,Non-bullying,liriknya pendek tp susah hafal pas puter kali eh candu banget,non-bulliying
 demi apa  kak yaya gk pernah ngeraguin para pendengar lagu  nya ,Non-bullying,kak yaya gk ngeraguin pendengar lagu nya,non-bulliying
 ka yaya kalo ragu tetep secantik itu yah     ,Non-bullying,ka yaya kalo ragu tetep secantik yah,non-bulliying
 ragu aja cantik kan kak  apalagi kalau serius ,Non-bullying,ragu aja cantik kak serius,non-bulliying
 ngga alay  ngga muluk muluk  natural  sukaaaa,Non-bullying,ngga alay ngga muluk muluk natural sukaaaa,non-bulliying
 seru bgt gemoy  tim berkebun plus tim alam bgt niiii ,Non-bullying,seru bgt gemoy tim berkebun plus tim alam bgt niiii,non-bulliying
 nikmatnya bisa menghirup oksigen dengan bebas ya    ,Non-bullying,nikmatnya menghirup oksigen bebas ya,non-bulliying
 slide kedua mukanya mau gaya apa aja tetep cantikk ,Non-bullying,slide mukanya gaya aja tetep cantikk,non-bulliying
 mba isyana foto gelap an gini aja aesthetic bgt ya ,Non-bullying,mba isyana foto gelap an gini aja aesthetic bgt ya,non-bulliying
 mba isyana udah cantik suaranya bagus kompeten pula  ah sukaaaa ,Non-bullying,mba isyana udah cantik suaranya bagus kompeten ah sukaaaa,non-bulliying
 ga taulah aku juga suka banget sama gayanya isyan ,Non-bullying,ga taulah suka banget gayanya isyan,non-bulliying
 kangen nonton konser isyan secara lgsg  meskipun msh bisa virtual  cuma experience nya lebih dapat aja gitu ,Non-bullying,kangen nonton konser isyan lgsg msh virtual experience nya aja gitu,non-bulliying
 congrats ka  isyanasarasvati  terus berkarya  makin sukses  dan terus mnjd inpirasi kita semua  ,Non-bullying,congrats ka isyanasarasvati berkarya sukses mnjd inpirasi,non-bulliying
 congrats kak  kamu memang pantes mendapatkannya ,Non-bullying,congrats kak pantes mendapatkannya,non-bulliying
 saya berharap kak  isyanasarasvati panjang umur  sehingga bisa jadi inspirasi untuk musisi seluruh indonesia  saya suka musik indonesia dengan adanya kak isyana ,Non-bullying,berharap kak isyanasarasvati umur inspirasi musisi indonesia suka musik indonesia kak isyana,non-bulliying
 udah cantik  rada gesrek tapi ya ini banyak kelebihannya  semangat tetap produktif ,Non-bullying,udah cantik rada gesrek ya kelebihannya semangat produktif,non-bulliying
 gatau lagi  serasa nonton wtf beneran di jkt meski virtual and thankyouu for the performance kak syan  selalu keren dan pecah  tak pernah sekalipun mengecewakan ,Non-bullying,gatau serasa nonton wtf beneran jkt virtual and thankyouu for the performance kak syan keren pecah mengecewakan,non-bulliying
 walaupun ga pernah lihat ka isyana live beneran di panggung  tp aku terpesona bgt ama live virtual asli keren ,Non-bullying,ga lihat ka isyana live beneran panggung tp terpesona bgt ama live virtual asli keren,non-bulliying
 yash we the fest even virtual tapi tetep keren bgt kak syann huaaa energi nya dpt bgt ,Non-bullying,yash we the fest even virtual tetep keren bgt kak syann huaaa energi nya dpt bgt,non-bulliying
 keren banget    walaupun sebentar tapi mantap abis  ditunggu karya selanjutnya ya kak  stay safe and healthy isyana ku ,Non-bullying,keren banget sebentar mantap abis ditunggu karya ya kak stay safe and healthy isyana ku,non-bulliying
 makaseh jugaa kakaaa inyeeuuuu semoga aku bisa pantang menyerah seperti kakak dan teman musisi lainnya yaaa ,Non-bullying,makaseh jugaa kakaaa inyeeuuuu semoga pantang menyerah kakak teman musisi yaaa,non-bulliying
 thank you juga  syan  seneng banget kemarin haha  semoga setelah pandemi ini  semua rencana dilancarkan ya  syan  ,Non-bullying,thank you syan seneng banget kemarin haha semoga pandemi rencana dilancarkan ya syan,non-bulliying
 hua seneng bgt kmrn walaupun cuma    menitan tp seneng liat isyan  adaptasi kebiasaan baruku semoga bisa lebih teratur maemnya  ditunggu karya selanjutnya kaka ,Non-bullying,hua seneng bgt kmrn menitan tp seneng liat isyan adaptasi kebiasaan baruku semoga teratur maemnya ditunggu karya kaka,non-bulliying
 senang akhirnya indonesia bisa mempunyai musisi idealis berkualitas tinggi yg masih bisa terus berkarya   diapresiasi oleh banyak orang  ,Non-bullying,senang indonesia musisi idealis berkualitas yg berkarya diapresiasi orang,non-bulliying
 berharap bisa menghadirkan musisi dgn genre yang lain dr yg sudah ada di industri  biar musik indonesia lebih berwarna ,Non-bullying,berharap menghadirkan musisi dgn genre dr yg industri biar musik indonesia berwarna,non-bulliying
 congrats kak isyan semoga semua impian impian baiknya segera bisa terwujud aamiin ,Non-bullying,congrats kak isyan semoga impian impian baiknya terwujud aamiin,non-bulliying
 bener bener idola  dr musisi yang dipandang sebelah mata sampe buat label musik sendiri  congrats syan ,Non-bullying,bener bener idola dr musisi dipandang sebelah mata sampe label musik congrats syan,non-bulliying
 congrats kak isyan semoga karya nya apa yg dilakukan kakak sukses teruss ,Non-bullying,congrats kak isyan semoga karya nya yg kakak sukses teruss,non-bulliying
 orang ini terlihat sangat sangat stres dan gila ,Bullying,orang stres gila,non-bulliying
 gua kalai jadi tuhan gaakan gua jadiin dia ini manusia  lebih pante ga hidup ini orang di dunia  akhlaknya gaada tolol bangsat ,Bullying,gua kalai tuhan gaakan gua jadiin manusia pante ga hidup orang dunia akhlaknya gaada tolol bangsat,bulliying
 biasa nya aq nangis kalo lagu nya seiihh  kalo sekarang nangis karna saking bagus nya lagu nya ,Non-bullying,nya aq nangis kalo lagu nya seiihh kalo nangis karna saking bagus nya lagu nya,non-bulliying
 definisi minat ketemu bakat ketemu kerja keras ,Non-bullying,definisi minat ketemu bakat ketemu kerja keras,non-bulliying
  vnagstn astaga si isyana keren banget ini  bisa ada musisi lokal yang selera musiknya kayak gini ,Non-bullying,vnagstn astaga si isyana keren banget musisi lokal selera musiknya kayak gini,non-bulliying
 mashaallah  udh cantik  pinter  jago nyanyi dn mainin alat musik pula neng  isyanasarasvati ngefans bener ini mah ,Non-bullying,mashaallah udh cantik pinter jago nyanyi dn mainin alat musik neng isyanasarasvati ngefans bener mah,non-bulliying
 gilaaaa   gila   gilaaaa tangan  kaki  ekspresi  n emosi tertuang adi suatu karya yg fantastis ,Non-bullying,gilaaaa gila gilaaaa tangan kaki ekspresi n emosi tertuang adi karya yg fantastis,non-bulliying
 gosh  tiap kali lihat isyana mainin alat musik kaya lihat jiwanya beda  merinding gila  kaya kepribadiannya jadi serius bangett ,Non-bullying,gosh kali lihat isyana mainin alat musik kaya lihat jiwanya beda merinding gila kaya kepribadiannya serius bangett,non-bulliying
 sumpah demi allah bagus bangett kereennn merinding ak nya   dengerin sampe abis tiba  aja ampe netesin air mata ,Non-bullying,sumpah allah bagus bangett kereennn merinding ak nya dengerin sampe abis aja ampe netesin air mata,non-bulliying
 aku memutuskan untuk menjadi fans isyana  gila keren banget ya  otak mereka berdua bisa berfungsi dg menjalankan perintah ke tangan dan kaki  di waktu bersamaan ,Non-bullying,memutuskan fans isyana gila keren banget ya otak berdua berfungsi dg menjalankan perintah tangan kaki bersamaan,non-bulliying
 amzing isyanaa   jujur aku amazed banget dengan skill dan minat isyana dalam bermusik  ga cuma bernyanyi tapi main alat musik pun jago banget ,Non-bullying,amzing isyanaa jujur amazed banget skill minat isyana bermusik ga bernyanyi main alat musik jago banget,non-bulliying
 paling ngiri liat orang keren maen alat musik dan dalem banget nikmatin permainan sendiri ,Non-bullying,ngiri liat orang keren maen alat musik dalem banget nikmatin permainan,non-bulliying
 sampe ga bisa berkata  lagi buat isyana  sangat  sempurna org ini ,Non-bullying,sampe ga isyana sempurna org,non-bulliying
 inimah bukan main alat musik lagi  olahraga jari dan kaki ini mah ,Non-bullying,inimah main alat musik olahraga jari kaki mah,non-bulliying
